"","lat","lon","Operator","Class"
"1",12.9603081,77.644831,"Airtel","good"
"2",12.9685301,77.6825823,"Airtel","good"
"3",12.9127745,77.5589106,"Airtel","good"
"4",12.9887967,77.519942,"Airtel","good"
"5",12.9064174,77.5855455,"Airtel","good"
"6",12.9796756,77.7144349,"Airtel","good"
"7",12.8796739,77.5957044,"Airtel","good"
"8",12.9645234,77.6388042,"Airtel","good"
"9",12.9796595,77.694468,"Airtel","good"
"10",12.9323751,77.6133328,"Airtel","good"
"11",12.9857677,77.748625,"Airtel","good"
"12",12.9066034,77.631429,"Airtel","good"
"13",13.002229,77.6595459,"Airtel","good"
"14",12.9572773,77.7153342,"Airtel","good"
"15",13.0210379,77.6773795,"Airtel","good"
"16",13.0792877,77.5377066,"Airtel","good"
"17",12.9529672,77.6400227,"Airtel","good"
"18",12.9727973,77.6624152,"Airtel","poor"
"19",13.0818984,77.5374002,"Airtel","good"
"20",13.0467668,77.5669032,"Airtel","good"
"21",12.9249587,77.6284743,"Airtel","good"
"22",12.9802545,77.5708378,"Airtel","good"
"23",12.9727973,77.6624152,"Airtel","satisfactory"
"24",12.8571296,77.6633984,"Airtel","satisfactory"
"25",12.8458633,77.6776256,"Airtel","good"
"26",13.0792869,77.5377082,"Airtel","good"
"27",13.0720238,77.5297774,"Airtel","good"
"28",13.01553,77.6620823,"Airtel","good"
"29",12.9618772,77.7419283,"Airtel","good"
"30",12.9602722,77.6428849,"Airtel","poor"
"31",12.845864,77.6776189,"Airtel","satisfactory"
"32",12.872956,77.6505699,"Airtel","good"
"33",12.9994068,77.7544566,"Airtel","good"
"34",12.9566853,77.7052773,"Airtel","good"
"35",12.9492794,77.6454295,"Airtel","good"
"36",13.04999404,77.48682917,"Airtel","poor"
"37",12.8697443,77.56203,"Airtel","good"
"38",13.0752817,77.5300164,"Airtel","good"
"39",12.9048711,77.6457598,"Airtel","good"
"40",12.9376246,77.6933798,"Airtel","good"
"41",13.0425986,77.5880426,"Airtel","good"
"42",12.971737,77.6147788,"Airtel","good"
"43",13.062979,77.544112,"Airtel","good"
"44",12.9792941,77.6960205,"Airtel","good"
"45",13.0302643890172,77.5885752154045,"Airtel","good"
"46",12.985477,77.6792698,"Airtel","good"
"47",12.8460841,77.6613415,"Airtel","good"
"48",12.9812255,77.6387904,"Airtel","good"
"49",12.97109,77.6345405,"Airtel","good"
"50",12.960704,77.6461402,"Airtel","good"
"51",12.9601931,77.6437686,"Airtel","good"
"52",12.9203106,77.6671351,"Airtel","good"
"53",13.0759028,77.7893245,"Airtel","good"
"54",12.971823,77.6141613,"Airtel","good"
"55",12.9733595,77.6469306,"Airtel","good"
"56",13.0808381,77.5374002,"Airtel","good"
"57",12.9575778,77.7153851,"Airtel","satisfactory"
"58",12.9727973,77.6624152,"Airtel","poor"
"59",12.8459294,77.6776256,"Airtel","poor"
"60",12.9024373,77.5879108,"Airtel","poor"
"61",12.979721,77.5751596,"Airtel","good"
"62",12.8458748,77.6776367,"Airtel","poor"
"63",12.9268897,77.5476907,"Airtel","good"
"64",12.9801932,77.6975077,"Airtel","good"
"65",12.8925343,77.5976253,"Airtel","good"
"66",12.9430034,77.6511883,"Airtel","poor"
"67",12.9702285,77.6424612,"Airtel","satisfactory"
"68",13.0003574,77.5840324,"Airtel","good"
"69",13.0200938,77.6839896,"Airtel","good"
"70",12.9391547,77.6258662,"Airtel","good"
"71",13.0191156,77.6187905,"Airtel","good"
"72",12.9678601,77.645629,"Airtel","good"
"73",12.9840111,77.6928338,"Airtel","good"
"74",13.0052476,77.6845701,"Airtel","satisfactory"
"75",12.9997298,77.6854889,"Airtel","good"
"76",12.9997057,77.5794379,"Airtel","good"
"77",13.0285681,77.5698676,"Airtel","satisfactory"
"78",13.1076621,77.5753363,"Airtel","good"
"79",13.0458044,77.5562243,"Airtel","good"
"80",12.8992052,77.572624,"Airtel","good"
"81",12.9225492,77.6497533,"Airtel","good"
"82",13.0747345,77.7858297,"Airtel","good"
"83",13.0537054,77.5754526,"Airtel","good"
"84",12.9790847,77.6952268,"Airtel","good"
"85",12.9814141,77.6933765,"Airtel","good"
"86",12.9048711,77.6457598,"Airtel","good"
"87",12.9559047,77.6489479,"Airtel","poor"
"88",13.0449119,77.5376219,"Airtel","good"
"89",13.0793171,77.5377802,"Airtel","good"
"90",12.9911339,77.7511085,"Airtel","satisfactory"
"91",12.95517845,77.6882574,"Airtel","satisfactory"
"92",12.922067,77.6451058,"Airtel","good"
"93",12.9807415,77.6967361,"Airtel","good"
"94",12.9048584,77.6457263,"Airtel","good"
"95",12.9174877,77.5735197,"Airtel","good"
"96",12.8459854,77.6613527,"Airtel","good"
"97",12.84604,77.6613415,"Airtel","good"
"98",13.0171994,77.5969008,"Airtel","good"
"99",12.9600157,77.6428289,"Airtel","poor"
"100",12.8880367,77.6405632,"Airtel","satisfactory"
"101",12.9517127,77.5905476,"Airtel","satisfactory"
"102",12.9727952,77.6623705,"Airtel","poor"
"103",12.9744937,77.5711476,"Airtel","good"
"104",12.9575659,77.6381377,"Airtel","good"
"105",12.922609,77.6496191,"Airtel","good"
"106",13.0114664,77.5285499,"Airtel","good"
"107",12.9539636,77.5910766,"Airtel","good"
"108",12.9840111,77.6928338,"Airtel","good"
"109",12.9837622,77.6931693,"Airtel","poor"
"110",13.0307068,77.5368733,"Airtel","good"
"111",12.9278268,77.5465541,"Airtel","good"
"112",13.0167385,77.6688424,"Airtel","good"
"113",12.9556273,77.6491493,"Airtel","poor"
"114",13.0760279,77.7897169,"Airtel","good"
"115",12.9166824,77.6096679,"Airtel","good"
"116",12.9048595,77.6457486,"Airtel","good"
"117",12.8506624,77.6641712,"Airtel","good"
"118",13.0772201,77.7923273,"Airtel","good"
"119",12.928432,77.6001019,"Airtel","good"
"120",12.9254283,77.6361055,"Airtel","good"
"121",12.9600157,77.6428289,"Airtel","good"
"122",12.9771572,77.6956627,"Airtel","good"
"123",12.9605588,77.642816,"Airtel","satisfactory"
"124",13.0809079,77.5388335,"Airtel","good"
"125",13.0073965,77.5810961,"Airtel","good"
"126",12.9556494,77.6491493,"Airtel","poor"
"127",12.9980426,77.6721172,"Airtel","good"
"128",12.9751424,77.6467745,"Airtel","good"
"129",12.9797166,77.7143678,"Airtel","good"
"130",13.0734093,77.7835356,"Airtel","good"
"131",13.0228603,77.5516777,"Airtel","good"
"132",12.9557352,77.6491498,"Airtel","poor"
"133",12.9759566,77.6042019,"Airtel","good"
"134",12.925214,77.6374394,"Airtel","good"
"135",12.9562083,77.7109992,"Airtel","good"
"136",13.0149524,77.6621739,"Airtel","good"
"137",12.9581688,77.667565,"Airtel","good"
"138",13.0710996,77.7925896,"Airtel","good"
"139",12.9064252,77.5826527,"Airtel","good"
"140",12.9342942,77.6355237,"Airtel","good"
"141",12.9363877,77.5637727,"Airtel","good"
"142",12.9872715,77.6894001,"Airtel","good"
"143",13.079282,77.537695,"Airtel","good"
"144",12.9224745,77.6495743,"Airtel","poor"
"145",12.9900582,77.7142672,"Airtel","good"
"146",12.9840122,77.6928562,"Airtel","poor"
"147",12.9689039,77.6845639,"Airtel","good"
"148",12.9603015,77.641504,"Airtel","poor"
"149",13.0327958,77.5693862,"Airtel","good"
"150",12.9575804,77.6413967,"Airtel","good"
"151",13.00742,77.6022248,"Jio","good"
"152",12.8588198,77.6129818,"Jio","good"
"153",13.0360021,77.5765491,"Jio","good"
"154",13.1034752,77.5843331,"Jio","good"
"155",12.9729052,77.5922085,"Jio","good"
"156",13.0361471,77.5765726,"Jio","good"
"157",12.9465937,77.7032551,"Jio","satisfactory"
"158",13.007398,77.6022248,"Jio","good"
"159",13.0366455,77.5763239,"Jio","good"
"160",13.1036524,77.5842062,"Jio","satisfactory"
"161",12.9316742,77.6317311,"Jio","satisfactory"
"162",12.9290302,77.6846279,"Jio","good"
"163",12.9600157,77.6428289,"Jio","good"
"164",12.9169932,77.6332191,"Jio","good"
"165",13.0074106,77.6022584,"Jio","good"
"166",13.104143,77.5841167,"Jio","good"
"167",12.9290706,77.6598773,"Jio","satisfactory"
"168",12.9618918,77.5053493,"Jio","good"
"169",12.9112104,77.5067641,"Jio","good"
"170",12.8992263,77.5871945,"Jio","good"
"171",12.97636,77.5757343,"Jio","satisfactory"
"172",13.0362359,77.5768458,"Jio","good"
"173",12.9217207,77.6652338,"Jio","good"
"174",13.0365519,77.5764449,"Jio","good"
